Ablation,Province,Variant,threshold,F2,AUC_ROC,PR_AUC,Recall,Precision,Accuracy
B2a_fixed05,WesternSamar,Fixed 0.5,0.5,0.9868,0.9903,0.9834,0.9884,0.9803,0.9869
B2a_fixed05,Leyte,Fixed 0.5,0.5,0.9923,0.9965,0.993,0.9923,0.9923,0.9972
B2a_fixed05,Biliran,Fixed 0.5,0.5,0.9769,0.9883,0.7981,0.9894,0.93,0.9945
B2b_youden,EasternSamar,Youden J,0.1703,0.9917,0.9935,0.9926,0.9951,0.9784,0.9848
B2b_youden,WesternSamar,Youden J,0.8002,0.9868,0.9903,0.9834,0.9884,0.9803,0.9869
B2b_youden,Leyte,Youden J,0.873,0.9923,0.9965,0.993,0.9923,0.9923,0.9972
B2b_youden,Biliran,Youden J,0.5746,0.9769,0.9883,0.7981,0.9894,0.93,0.9945
B2c_F1,EasternSamar,F1-optimized,0.1703,0.9917,0.9935,0.9926,0.9951,0.9784,0.9848
B2c_F1,WesternSamar,F1-optimized,0.8002,0.9868,0.9903,0.9834,0.9884,0.9803,0.9869
B2c_F1,Leyte,F1-optimized,0.873,0.9923,0.9965,0.993,0.9923,0.9923,0.9972
B2c_F1,Biliran,F1-optimized,0.5746,0.9769,0.9883,0.7981,0.9894,0.93,0.9945
B2d_F2,EasternSamar,F2-optimized (baseline),0.1703,0.9917,0.9935,0.9926,0.9951,0.9784,0.9848
B2d_F2,WesternSamar,F2-optimized (baseline),0.8002,0.9868,0.9903,0.9834,0.9884,0.9803,0.9869
B2d_F2,Leyte,F2-optimized (baseline),0.873,0.9923,0.9965,0.993,0.9923,0.9923,0.9972
B2d_F2,Biliran,F2-optimized (baseline),0.5746,0.9769,0.9883,0.7981,0.9894,0.93,0.9945
C1_local,EasternSamar,C1: Local-only (10 feats),0.5593,0.9954,0.9935,0.9911,0.9951,0.9963,0.9952
C1_local,WesternSamar,C1: Local-only (10 feats),0.5539,0.9868,0.9876,0.9771,0.9884,0.9803,0.9869
C1_local,Leyte,C1: Local-only (10 feats),0.7618,0.9923,0.9956,0.9898,0.9923,0.9923,0.9972
C1_local,Biliran,C1: Local-only (10 feats),0.4233,0.9769,0.992,0.9838,0.9894,0.93,0.9945
C2_nolag,EasternSamar,C2: No lag features (22 feats),0.1014,0.8674,0.4267,0.4991,1.0,0.5668,0.5668
C2_nolag,WesternSamar,C2: No lag features (22 feats),0.1902,0.7817,0.6329,0.5906,1.0,0.4173,0.4173
C2_nolag,Leyte,C2: No lag features (22 feats),0.5751,0.5276,0.4072,0.2418,0.9962,0.1831,0.1965
C2_nolag,Biliran,C2: No lag features (22 feats),0.097,0.288,0.5178,0.0633,1.0,0.0748,0.1958
D1_pooled,EasternSamar,D1: Pooled regional,0.1806,0.9912,0.9927,0.99,0.9951,0.976,0.9834
D1_pooled,WesternSamar,D1: Pooled regional,0.0596,0.9833,0.9931,0.9888,0.9876,0.9665,0.9829
D1_pooled,Leyte,D1: Pooled regional,0.09,0.9926,0.9968,0.993,0.9949,0.9835,0.9938
D1_pooled,Biliran,D1: Pooled regional,0.1553,0.9763,0.9948,0.9744,0.9807,0.9591,0.9961
