Ablation,Province,Variant,F2,ΔF2,AUC_ROC,ΔAUC_ROC,PR_AUC,ΔPR_AUC,Recall,ΔRecall
B1d_RF,EasternSamar,B1d: Random Forest,0.9522,-0.0395,0.964,-0.0295,0.9744,-0.0182,0.9438,-0.0513
B1d_RF,WesternSamar,B1d: Random Forest,0.9868,0.0,0.99,-0.0003,0.9823,-0.0011,0.9884,0.0
B1d_RF,Leyte,B1d: Random Forest,0.9923,0.0,0.9966,0.0001,0.9855,-0.0075,0.9923,0.0
B1d_RF,Biliran,B1d: Random Forest,0.7047,-0.2722,0.9535,-0.0348,0.6778,-0.1203,0.6702,-0.3192
B2a_fixed05,EasternSamar,Fixed 0.5,0.9656,-0.0261,0.9935,0.0,0.9926,0.0,0.9597,-0.0354
B2a_fixed05,WesternSamar,Fixed 0.5,0.9868,0.0,0.9903,0.0,0.9834,0.0,0.9884,0.0
B2a_fixed05,Leyte,Fixed 0.5,0.9923,0.0,0.9965,0.0,0.993,0.0,0.9923,0.0
B2a_fixed05,Biliran,Fixed 0.5,0.9769,0.0,0.9883,0.0,0.7981,0.0,0.9894,0.0
B2b_youden,EasternSamar,Youden J,0.9917,0.0,0.9935,0.0,0.9926,0.0,0.9951,0.0
B2b_youden,WesternSamar,Youden J,0.9868,0.0,0.9903,0.0,0.9834,0.0,0.9884,0.0
B2b_youden,Leyte,Youden J,0.9923,0.0,0.9965,0.0,0.993,0.0,0.9923,0.0
B2b_youden,Biliran,Youden J,0.9769,0.0,0.9883,0.0,0.7981,0.0,0.9894,0.0
B2c_F1,EasternSamar,F1-optimized,0.9917,0.0,0.9935,0.0,0.9926,0.0,0.9951,0.0
B2c_F1,WesternSamar,F1-optimized,0.9868,0.0,0.9903,0.0,0.9834,0.0,0.9884,0.0
B2c_F1,Leyte,F1-optimized,0.9923,0.0,0.9965,0.0,0.993,0.0,0.9923,0.0
B2c_F1,Biliran,F1-optimized,0.9769,0.0,0.9883,0.0,0.7981,0.0,0.9894,0.0
B2d_F2,EasternSamar,F2-optimized (baseline),0.9917,0.0,0.9935,0.0,0.9926,0.0,0.9951,0.0
B2d_F2,WesternSamar,F2-optimized (baseline),0.9868,0.0,0.9903,0.0,0.9834,0.0,0.9884,0.0
B2d_F2,Leyte,F2-optimized (baseline),0.9923,0.0,0.9965,0.0,0.993,0.0,0.9923,0.0
B2d_F2,Biliran,F2-optimized (baseline),0.9769,0.0,0.9883,0.0,0.7981,0.0,0.9894,0.0
C1_local,EasternSamar,C1: Local-only (10 feats),0.9954,0.0037,0.9935,0.0,0.9911,-0.0015,0.9951,0.0
C1_local,WesternSamar,C1: Local-only (10 feats),0.9868,0.0,0.9876,-0.0027,0.9771,-0.0063,0.9884,0.0
C1_local,Leyte,C1: Local-only (10 feats),0.9923,0.0,0.9956,-0.0009,0.9898,-0.0032,0.9923,0.0
C1_local,Biliran,C1: Local-only (10 feats),0.9769,0.0,0.992,0.0037,0.9838,0.1857,0.9894,0.0
C2_nolag,EasternSamar,C2: No lag features (22 feats),0.8674,-0.1243,0.4267,-0.5668,0.4991,-0.4935,1.0,0.0049
C2_nolag,WesternSamar,C2: No lag features (22 feats),0.7817,-0.2051,0.6329,-0.3574,0.5906,-0.3928,1.0,0.0116
C2_nolag,Leyte,C2: No lag features (22 feats),0.5276,-0.4647,0.4072,-0.5893,0.2418,-0.7512,0.9962,0.0039
C2_nolag,Biliran,C2: No lag features (22 feats),0.288,-0.6889,0.5178,-0.4705,0.0633,-0.7348,1.0,0.0106
D1_pooled,EasternSamar,D1: Pooled regional,0.9912,-0.0005,0.9927,-0.0008,0.99,-0.0026,0.9951,0.0
D1_pooled,WesternSamar,D1: Pooled regional,0.9833,-0.0035,0.9931,0.0028,0.9888,0.0054,0.9876,-0.0008
D1_pooled,Leyte,D1: Pooled regional,0.9926,0.0003,0.9968,0.0003,0.993,0.0,0.9949,0.0026
D1_pooled,Biliran,D1: Pooled regional,0.9763,-0.0006,0.9948,0.0065,0.9744,0.1763,0.9807,-0.0087
